structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
SMAC,Le Brise Glace,Association musiques amplifiées aux marquisats Annecy,"54 bis, rue des Marquisats","C/o Association musiques amplifiées,",74000.0,ANNECY,,,,"45.893031, 6.135651",Auvergne-Rhône-Alpes,6.135651,45.893031,
SMAC,Le Chabada,Adrama-Chabada,56 Boulevard du Doyenné,,49100.0,ANGERS,,,,"47.488388, -0.536159",Pays de la Loire,-0.5361589999999999,47.488388,
Scène Nationale,La Filature - Scène nationale,,"20, allée Nathan Katz",,68090.0,MULHOUSE Cedex,7.351713000000001,47.75726,"47.75726,7.351713000000001",,Grand Est,7.351713000000001,47.75726,
SMAC,L'Ouvre- Boîte,ASCA Association culturelle Argentine,"8, avenue de Bourgogne",BP 802,60000.0,BEAUVAIS,,,,"49.437982, 2.099627",Hauts-de-France,2.099627,49.437982,
SMAC en cours de labellisation,"SMAC S2M (Scènes de Musiques Métropolitaines) :
 L’Epicerie Moderne / Le Periscope /
Le Marché Gare / Bizarre !","Association Musiques Acutelles à Feyzin /
association Rassemblement d’Energies pour la Sauvegarde d’un Espace Artistique Utopique / association MJC Presqu’ile Confluence / Association Bizarre !",,,,FEYZIN | LYON |LYON |VENISSIEUX,,,,"45.676426, 4.860811",Auvergne-Rhône-Alpes,4.860811,45.676426,
Centre Dramatique National,NOUVEAU THEATRE DE BESANCON,CENTRE DRAMATIQUE NATIONAL DE FRANCHE-COMTE,Parc du Casino,,25000.0,BESANCON,5.97059,47.21801500000001,"47.21801500000001,5.97059","47.218012, 5.971403",Bourgogne-Franche-Comté,5.97059,47.21801500000001,
SMAC,Le Big Band Café,ADMH : Association pour le développement musical d'Hérouville,"1, avenue du Haut Crépond",,14200.0,HEROUVILLE-SAINT-CLAIR,,,,"49.210276, -0.336527",Normandie,-0.33652699999999997,49.210276,
Scène Nationale,La Passerelle - Scène nationale,,"137, boulevard Georges Pompidou",La Passerelle,5000.0,GAP Cedex,6.058732,44.57402700000001,"44.57402700000001,6.058732",,Provence-Alpes-Côte d'Azur,6.058732,44.57402700000001,
Centre d’art,LE GRAND CAFÉ,CENTRE D'ART CONTEMPORAIN,Place des quatre z'Horloges,,44600.0,SAINT-NAZAIRE,,,,"47.283577, -2.293727",Pays de la Loire,-2.293727,47.283577,
Orchestre Permanent,Orchestre national de Lyon,,"82, rue de Bonnel",,69003.0,Lyon,4.851918,45.762103000000025,"45.762103000000025,4.851918","45.762063, 4.852408",Auvergne-Rhône-Alpes,4.8519179999999995,45.762103000000025,
Centre de développement chorégraphique,"Uzès danse, Festival et Centre de développement chorégraphique de l'Uzège, du Gard et du Languedoc-Roussillon",,,,30700.0,UZES,,,,"44.012097, 4.419221",Occitanie,4.419221,44.012097,
Scène Nationale,Le Manège - Scène nationale,,Rue de la Croix,B P 105,59602.0,MAUBEUGE Cedex,3.9763339999999996,50.276754999999994,"50.276754999999994,3.9763339999999996",,Hauts-de-France,3.976333999999999,50.276754999999994,
SMAC,Le Petit Faucheux,Le Petit Faucheux,"12, rue Léonard de Vinci",,37000.0,TOURS,,,,"47.390928, 0.683029",Centre-Val de Loire,0.683029,47.390928,
Pôle cirque,La Brèche,,Rue de la Chasse verte,BP 238,50100.0,CHERBOURG-EN-COTENTIN,,,,"49.631699, -1.60191",Normandie,-1.6019100000000002,49.631699,
Scène Nationale,Le Channel - Scène nationale,,"173, boulevard Gambetta",BP 77,62100.0,CALAIS Cedex,1.8526950000000002,50.947493999999985,"50.947493999999985,1.8526950000000002","50.946054, 1.839457",Hauts-de-France,1.8526950000000002,50.947493999999985,
SMAC,La Grange à Musique,,16 Boulevard Salvador Allende,Service culture BP 76,60100.0,CREIL,,,,"49.250057, 2.474793",Hauts-de-France,2.474793,49.250057,
FRAC,Fonds régional d'art contemporain PICARDIE,,"45, rue Pointin",,80000.0,AMIENS,,,,"49.885615, 2.310726",Hauts-de-France,2.310726,49.885615,
Scène Nationale,Le Trident - Scène nationale,,Place du Général de Gaulle,BP 807,50100.0,CHERBOURG Cedex,-1.6337840000000001,49.63975300000002,"49.63975300000002,-1.6337840000000001","49.638093, -1.622482",Normandie,-1.633784,49.63975300000002,
